1	2	3	4	5	지역	지역2
가	나	가	나	다	서울	서울신도시
NA	NA	나	가	다	NA	NA
나	가	가	가	다	서울	서울신도시
나	가	가	가	가	서울	서울신도시
가	가	가	가	가	속초	지방
가	나	가	나	가	양평	지방
나	가	가	가	다	서울	서울신도시
나	가	나	가	다	서울	서울신도시
가	나	나	가	다	남양주	지방
나	가	나	나	가	서울	서울신도시
가	가	가	가	가	남양주	지방
가	가	나	가	가	시흥	지방
가	나	가	가	다	서울	서울신도시
가	나	나	가	가	서울	서울신도시
가	나	가	나	가	남양주	지방
가	나	나	가	가	서울	서울신도시
가	가	가	나	다	남양주	지방
가	가	가	나	다	춘천	지방
가	나	나	가	다	춘천	지방
가	가	나	가	다	원주	지방
가	가	가	다	다	수원	지방
나	나	나	가	나	서울	서울신도시
나	나	나	나	가	서울	서울신도시
나	나	가	나	다	서울	서울신도시
나	가	나	나	가	구리	지방
가	가	나	가	다	서울	서울신도시
가	가	나	나	다	홍천	지방
가	가	가	가	가	서울	서울신도시
가	가	가	가	다	인천	지방
가	가	나	가	가	철원	지방
나	나	가	가	다	서울	서울신도시
가	나	가	가	가	홍천	지방
가	가	나	가	가	의정부	지방
가	나	가	나	나	서울	서울신도시
가	나	가	나	다	강릉	지방
나	나	가	나	다	남양주	지방
가	가	나	나	다	서울	서울신도시
가	나	나	나	가	남양주	지방
나	가	가	나	가	분당	서울신도시
나	가	나	가	다	서울	서울신도시
가	가	가	가	다	춘천	지방
가	나	가	가	다	춘천	지방
가	가	가	가	다	천안	지방
가	가	나	가	가	서울	서울신도시
가	나	가	가	다	의정부	지방
가	나	나	가	가	남양주	지방
가	가	나	가	다	속초	지방
가	가	가	나	다	안양	지방
나	나	가	가	다	서울	서울신도시
나	가	가	가	나	춘천	지방
가	가	나	나	가	서울	서울신도시
나	가	가	가	다	서울	서울신도시
가	나	가	나	다	춘천	지방
가	나	가	나	다	강릉	지방
나	나	가	가	가	이천	지방
나	가	나	나	다	수원	지방
나	가	가	나	다	안양	지방
가	나	가	가	가	울산	지방
가	가	나	나	다	수원	지방
가	나	나	가	가	서울	서울신도시
가	가	나	가	다	구리	지방
가	가	나	가	가	서울	서울신도시
나	가	나	가	다	춘천	지방
나	가	가	가	다	춘천	지방
						
